One Last Stop | Casey McQuiston
The Name of the Rose | Umberto Eco
Pride and Prejudice | Jane Austen
1984 | George Orwell
Crime and Punishment (Abridged) | Fyodor Dostoevsky
Hamlet | William Shakespeare
Anna Karenina | Leo Tolstoy
The Stranger | Albert Camus
The Brothers Karamazov | Fyodor Dostoevsky
Great Expectations | Charles Dickens
The Old Man and the Sea | Ernest Hemingway
Lolita | Vladimir Nabokov
War and Peace | Leo Tolstoy
The History and Adventures of the Renowned Don Quixote. Translated from the Spanish of Miguel de Cervantes Saavedra.by T. Smollet, M.D. the Sixth Edit | Miguel de Cervantes
Madame Bovary | Gustave Flaubert
The Trial | Franz Kafka
King Lear | William Shakespeare
Mrs. Dalloway | Virginia Woolf
Othello | William Shakespeare
Ulysses | James Joyce
Oedipus Rex | Sophocles
The Sound and the Fury | William Faulkner
Gulliver's Travels | Jonathan Swift
Pippi Longstocking | Astrid Lindgren
The Idiot | Fyodor Dostoevsky
Swann's Way | Marcel Proust
To the Lighthouse | Virginia Woolf
Beloved | Toni Morrison
Faust | Johann Wolfgang von Goethe
Blindness | José Saramago
Things Fall Apart | Chinua Achebe
Ficciones | Jorge Luis Borges
Zorba the Greek | Nikos Kazantzakis
Middlemarch | George Eliot
The Death of Ivan Ilych | Leo Tolstoy
The Count of Monte Cristo | Alexandre Dumas
The Magic Mountain | Thomas Mann
The Bell Jar | Sylvia Plath
The Catcher in the Rye | J.D. Salinger
The Grapes of Wrath | John Steinbeck
Wuthering Heights | Emily Brontë
Jane Eyre | Charlotte Brontë
The Picture of Dorian Gray | Oscar Wilde
Dracula | Bram Stoker
Frankenstein: The 1818 Text | Mary Shelley
The Lord of the Rings | J.R.R. Tolkien
The Alchemist | Paulo Coelho
The Little Prince | Antoine de Saint-Exupéry
The Chronicles of Narnia | C.S. Lewis
The Wind-Up Bird Chronicle | Haruki Murakami
Kafka on the Shore | Haruki Murakami
Norwegian Wood | Haruki Murakami
Yossarian Slept Here: When Joseph Heller Was Dad, the Apthorp Was Home, and Life Was a Catch-22 | Erica Heller
Slaughterhouse-Five | Kurt Vonnegut
The Road | Cormac McCarthy
Blood Meridian | Cormac McCarthy
The Handmaid's Tale | Margaret Atwood
The Blind Assassin | Margaret Atwood
The Color Purple | Alice Walker
Invisible Man | Ralph Ellison
The Tin Drum | Günter Grass
Diary of a Madman and Other Stories | Lu Xun
Monkey King: Journey to the West (Penguin Classics Deluxe Edition) | Julia Lovell
Romance of the Three Kingdoms Volume 1 | Luo Guanzhong
The Water Margin | Shi Nai'an
The Tale of Genji | Murasaki Shikibu
Romancero Gitano | Federico García Lorca
The Shadow of the Wind | Carlos Ruiz Zafón
The House of the Spirits | Isabel Allende
The Time Traveler's Wife | Audrey Niffenegger
The Night Circus | Erin Morgenstern
The Goldfinch | Donna Tartt
The Secret History | Donna Tartt
The Luminaries | Eleanor Catton
The Power | Naomi Alderman
Circe | Madeline Miller
The Song of Achilles | Madeline Miller
Where the Crawdads Sing | Delia Owens
The Nightingale | Kristin Hannah
The Book Thief | Markus Zusak
The Summer I Turned Pretty | Jenny Han
To All the Boys I've Loved Before | Jenny Han
P.S. I Still Love You | Jenny Han
Always and Forever, Lara Jean | Jenny Han
The Hate U Give | Angie Thomas
Concrete Rose | Angie Thomas
On the Come Up | Angie Thomas
Dear Martin | Nic Stone
Odd One Out | Nic Stone
Jack of Hearts (and Other Parts) | L.C. Rosen
Simon vs. the Homo Sapiens Agenda | Becky Albertalli
Loveless | Alice Oseman
Radio Silence | Alice Oseman
Alice Oseman Four-Book Collection Box Set (Solitaire, Radio Silence, I Was Born For This, Loveless) | Alice Oseman
The Metamorphosis | Franz Kafka
The Hobbit: or There and Back Again | J.R.R. Tolkien
Midnight's Children | Salman Rushdie
All the Light We Cannot See | Anthony Doerr
Funny Story | Emily Henry
Book Lovers | Emily Henry
The Love Hypothesis | Ali Hazelwood
The Paper Palace | Miranda Cowley Heller
The Names | Florence Knapp
Nesting | Roisín O’Donnell
The Great Alone | Kristin Hannah
The Four Winds | Kristin Hannah
The Paris Library | Janet Skeslien Charles
The Huntress | Kate Quinn
The Rose Code | Kate Quinn
The Giver of Stars | Jojo Moyes
Me Before You | Jojo Moyes
The Last Letter from Your Lover | Jojo Moyes
The Favorites | Layne Fargo
The Guest List | Lucy Foley
The Paris Secret | Natasha Lester
The Henna Artist | Alka Joshi
Tom Lake | Ann Patchett
Commonwealth | Ann Patchett
Bel Canto | Ann Patchett
The Magician's Assistant | Ann Patchett
State of Wonder | Ann Patchett
Run | Ann Patchett
The Patron Saint of Liars | Ann Patchett
The Rachel Incident | Caroline O'Donoghue
The Thing About December | Donal Ryan
The Queen of Dirt Island | Donal Ryan
From a Low and Quiet Sea | Donal Ryan
All We Shall Know | Donal Ryan
The Green Road | Anne Enright
The Gathering | Anne Enright
The Forgotten Waltz | Anne Enright
The Silver Branch | Rosemary Sutcliff
The Lantern Bearers | Rosemary Sutcliff
The Vegetarian | Han Kang
Human Acts | Han Kang
The White Book | Han Kang
The Calligrapher's Daughter | Eugenia Kim
The Interpreter | Suki Kim
The Court Dancer | Kyung-sook Shin
Please Look After Mom | Kyung-sook Shin
I'll Be Right There | Kyung-sook Shin
The Hen Who Dreamed She Could Fly | Sun-mi Hwang
The Guest | Hwang Sok-yong
The Old Garden | Hwang Sok-yong
The Shadow of Arms | Hwang Sok-yong
The Prisoner: A Memoir | Hwang Sok-yong
The Road to Sampo: And Other Korean Short Stories | Yi Pyong-Ju
The Thirty Names of Night | Zeyn Joukhadar
The Death of Vivek Oji | Akwaeke Emezi
Freshwater | Akwaeke Emezi
Pet | Akwaeke Emezi
Bitter | Akwaeke Emezi
The Book of Phoenix | Nnedi Okorafor
Who Fears Death | Nnedi Okorafor
Lagoon | Nnedi Okorafor
Akata Witch | Nnedi Okorafor
Akata Warrior | Nnedi Okorafor
The Shadow Speaker | Nnedi Okorafor
The Fishermen | Chigozie Obioma
Bellies | Nicola Dinan
Felix Ever After | Kacen Callender
King and the Dragonflies | Kacen Callender
Mooncakes | Wendy Xu
The Midnight Library | Matt Haig
The Comfort Book | Matt Haig
How to Stop Time | Matt Haig
Reasons to Stay Alive | Matt Haig
Heartstopper Volume 2 | Alice Oseman
Ender's Game | Orson Scott Card
Speaker for the Dead | Orson Scott Card
Xenocide | Orson Scott Card
Children of the Mind | Orson Scott Card
The Way of Kings | Brandon Sanderson
Words of Radiance | Brandon Sanderson
Oathbringer | Brandon Sanderson
Rhythm of War | Brandon Sanderson
Mistborn: The Final Empire | Brandon Sanderson
