Love in the Time of Cholera
We Both Die at the End, Adam Silvera
Atmosphere of Hope, Florence Knapp
Atmosphere: A Love Story, Taylor Jenkins Reid
The Wren, Eilis Dillon
The Soul of a Great City, Hwang Sok-Yong
The Map of Salt and Stars, Jennifer Zeynab Joukhadar
The War of the Worlds, H.G. Wells
Lean Mean Thirteen, Janet Evanovich
In One Person, John Irving
The Underground Railroad, Colson White
Four: A Divergent Collection, Veronica Roth
Portrait in Sepia, Isabel Allende
The Dark Artifices Series, Cassandra Clare
The Last Hours Series, Cassandra Clare
The Shadowhunter Chronicles, Cassandra Clare
The Four Loves, C.S. Lewis
Til We Have Faces, C.S. Lewis
The Secret Book of Grazia dei Rossi, Ki Longfellow
The Drowning Tree, Alice Hoffman
The Bluest Eye, Toni Morrison
Beloved, Toni Morrison
Song of Solomon, Toni Morrison
Sula, Toni Morrison
Tar Baby, Toni Morrison
A Mercy, Toni Morrison
Home, Toni Morrison
God Help the Child, Toni Morrison
The Origin of Others, Toni Morrison
The Signature of All Things, Elizabeth Gilbert
Half Broke Horses, Jeannette Walls
A Monster Calls, Patrick Ness
The Rest of Us Just Live Here, Patrick Ness
More Than This, Patrick Ness
The Knife of Never Letting Go, Patrick Ness
The Ask and the Answer, Patrick Ness
Islands in the Stream, Ernest Hemingway
I Know Why the Caged Bird Sings, Maya Angelou
The Heart is a Lonely Hunter, Carson McCullers
The Member of the Wedding, Carson McCullers
Reflections in a Golden Eye, Carson McCullers
The Ballad of the Sad Café, Carson McCullers
Clock Without Hands, Carson McCullers
The Collected Stories of Carson McCullers, Carson McCullers
The Complete Stories, Flannery O'Connor
The Good Mother, Sue Miller
The Father, Sue Miller
The World Below, Sue Miller
While I Was Gone, Sue Miller
The Lake Shore Limited, Sue Miller
The Senator's Wife, Sue Miller
Lost in the Forest, Sue Miller
The Distinguished Guest, Sue Miller
The Arsonist, Sue Miller
The Last Day of the War, Sue Miller
The Red Book, Sue Miller
The Lake, Sue Miller
The Story of Edgar Sawtelle, David Wroblewski
All Quiet on the Western Front, Erich Maria Remarque
The Road Back, Erich Maria Remarque
Three Comrades, Erich Maria Remarque
Flotsam, Erich Maria Remarque
The Black Obelisk, Erich Maria Remarque
Arch of Triumph, Erich Maria Remarque
The Spark of Life, Erich Maria Remarque
Shadows in Paradise, Erich Maria Remarque
The Promised Land, Erich Maria Remarque
The Swallows of Kabul, Yasmina Khadra
The Attack, Yasmina Khadra
The Sirens of Baghdad, Yasmina Khadra
The Angels Die, Yasmina Khadra
The Yellow Dog, Yasmina Khadra
The First Stone, Yasmina Khadra
The Crime, Yasmina Khadra
The Sacred Night, Yasmina Khadra
The Return, Hisham Matar
Room, Emma Donoghue
The Wonder, Emma Donoghue
Frog Music, Emma Donoghue
The Sealed Letter, Emma Donoghue
The Pull of the Stars, Emma Donoghue
The Light Between Oceans, M.L. Stedman
The Pacific, Simon Winchester
Krakatoa: The Day the World Exploded, Simon Winchester
The Professor and the Madman, Simon Winchester
The Map That Changed the World, Simon Winchester  
