Love in the Time of Cholera
We Both Die at the End, Adam Silvera
Atmosphere of Hope, Florence Knapp
Atmosphere: A Love Story, Taylor Jenkins Reid
The Wren, Eilis Dillon
The Soul of a Great City, Hwang Sok-Yong
The Map of Salt and Stars, Jennifer Zeynab Joukhadar
The War of the Worlds, H.G. Wells
Lean Mean Thirteen, Janet Evanovich
The Underground Railroad, Colson White
The Dark Artifices Series, Cassandra Clare
The Last Hours Series, Cassandra Clare
The Shadowhunter Chronicles, Cassandra Clare
The Four Loves, C.S. Lewis
Til We Have Faces, C.S. Lewis
The Secret Book of Grazia dei Rossi, Ki Longfellow
The Drowning Tree, Alice Hoffman
The Bluest Eye, Toni Morrison
Beloved, Toni Morrison
Song of Solomon, Toni Morrison
Sula, Toni Morrison
Tar Baby, Toni Morrison
A Mercy, Toni Morrison
Home, Toni Morrison
God Help the Child, Toni Morrison
The Origin of Others, Toni Morrison
Half Broke Horses, Jeannette Walls
The Collected Stories of Carson McCullers, Carson McCullers
The Lake Shore Limited, Sue Miller
The Distinguished Guest, Sue Miller
The Last Day of the War, Sue Miller
The Red Book, Sue Miller
All Quiet on the Western Front, Erich Maria Remarque
Arch of Triumph, Erich Maria Remarque
The Swallows of Kabul, Yasmina Khadra
The Sirens of Baghdad, Yasmina Khadra
The Angels Die, Yasmina Khadra
The Yellow Dog, Yasmina Khadra
The First Stone, Yasmina Khadra
The Crime, Yasmina Khadra
The Sacred Night, Yasmina Khadra
The Pull of the Stars, Emma Donoghue
